Team Name,Conference,SOR
Oregon Ducks,Big Ten,1
Georgia Bulldogs,SEC,2
Ohio State Buckeyes,Big Ten,3
Penn State Nittany Lions,Big Ten,4
Texas Longhorns,SEC,5
Miami Hurricanes,ACC,6
Indiana Hoosiers,Big Ten,7
Tennessee Volunteers,SEC,8
SMU Mustangs,ACC,9
Notre Dame Fighting Irish,FBS Indep.,10
Alabama Crimson Tide,SEC,11
Boise State Broncos,Mountain West,12
BYU Cougars,Big 12,13
South Carolina Gamecocks,SEC,14
Arizona State Sun Devils,Big 12,15
Texas A&M Aggies,SEC,16
Iowa State Cyclones,Big 12,17
Clemson Tigers,ACC,18
Ole Miss Rebels,SEC,19
LSU Tigers,SEC,20
Missouri Tigers,SEC,21
Illinois Fighting Illini,Big Ten,22
Kansas State Wildcats,Big 12,23
Army Black Knights,American,24
Florida Gators,SEC,25
Colorado Buffaloes,Big 12,26
Oklahoma Sooners,SEC,27
Tulane Green Wave,American,28
Louisville Cardinals,ACC,29
UNLV Rebels,Mountain West,30
Duke Blue Devils,ACC,31
Georgia Tech Yellow Jackets,ACC,32
Syracuse Orange,ACC,33
Vanderbilt Commodores,SEC,34
Louisiana Ragin' Cajuns,Sun Belt,35
Pittsburgh Panthers,ACC,36
Baylor Bears,Big 12,37
Arkansas Razorbacks,SEC,38
Iowa Hawkeyes,Big Ten,39
Texas Tech Red Raiders,Big 12,40
TCU Horned Frogs,Big 12,41
Michigan Wolverines,Big Ten,42
Marshall Thundering Herd,Sun Belt,43
USC Trojans,Big Ten,44
Washington Huskies,Big Ten,45
Memphis Tigers,American,46
Navy Midshipmen,American,47
West Virginia Mountaineers,Big 12,48
Washington State Cougars,Pac-12,49
Nebraska Cornhuskers,Big Ten,50
Minnesota Golden Gophers,Big Ten,51
Wisconsin Badgers,Big Ten,52
Georgia Southern Eagles,Sun Belt,53
Boston College Eagles,ACC,54
UCLA Bruins,Big Ten,55
Michigan State Spartans,Big Ten,56
Ohio Bobcats,MAC,57
Rutgers Scarlet Knights,Big Ten,58
Kansas Jayhawks,Big 12,59
Kentucky Wildcats,SEC,60
Sam Houston Bearkats,CUSA,61
Arkansas State Red Wolves,Sun Belt,62
James Madison Dukes,Sun Belt,63
Virginia Cavaliers,ACC,64
Cincinnati Bearcats,Big 12,65
Liberty Flames,CUSA,66
Virginia Tech Hokies,ACC,67
Colorado State Rams,Mountain West,68
Auburn Tigers,SEC,69
Jacksonville State Gamecocks,CUSA,70
North Carolina Tar Heels,ACC,71
Bowling Green Falcons,MAC,72
California Golden Bears,ACC,73
Miami (OH) RedHawks,MAC,74
Western Kentucky Hilltoppers,CUSA,75
Houston Cougars,Big 12,76
Buffalo Bulls,MAC,77
South Florida Bulls,American,78
App State Mountaineers,Sun Belt,79
Northwestern Wildcats,Big Ten,80
UConn Huskies,FBS Indep.,81
NC State Wolfpack,ACC,82
Toledo Rockets,MAC,83
UCF Knights,Big 12,84
East Carolina Pirates,American,85
Maryland Terrapins,Big Ten,86
Arizona Wildcats,Big 12,87
Wake Forest Demon Deacons,ACC,88
San José State Spartans,Mountain West,89
UL Monroe Warhawks,Sun Belt,90
Northern Illinois Huskies,MAC,91
Utah Utes,Big 12,92
Fresno State Bulldogs,Mountain West,93
Stanford Cardinal,ACC,94
South Alabama Jaguars,Sun Belt,95
UTSA Roadrunners,American,96
Texas State Bobcats,Sun Belt,97
Oklahoma State Cowboys,Big 12,98
North Texas Mean Green,American,99
Oregon State Beavers,Pac-12,100
Charlotte 49ers,American,101
Coastal Carolina Chanticleers,Sun Belt,102
Old Dominion Monarchs,Sun Belt,103
Western Michigan Broncos,MAC,104
New Mexico Lobos,Mountain West,105
Florida State Seminoles,ACC,106
Mississippi State Bulldogs,SEC,107
Utah State Aggies,Mountain West,108
Hawai'i Rainbow Warriors,Mountain West,109
Eastern Michigan Eagles,MAC,110
Georgia State Panthers,Sun Belt,111
Air Force Falcons,Mountain West,112
Temple Owls,American,113
UAB Blazers,American,114
Troy Trojans,Sun Belt,115
Central Michigan Chippewas,MAC,116
Rice Owls,American,117
Akron Zips,MAC,118
Purdue Boilermakers,Big Ten,119
Ball State Cardinals,MAC,120
Louisiana Tech Bulldogs,CUSA,121
San Diego State Aztecs,Mountain West,122
Nevada Wolf Pack,Mountain West,123
New Mexico State Aggies,CUSA,124
Middle Tennessee Blue Raiders,CUSA,125
Tulsa Golden Hurricane,American,126
Wyoming Cowboys,Mountain West,127
Massachusetts Minutemen,FBS Indep.,128
Florida International Panthers,CUSA,129
UTEP Miners,CUSA,130
Southern Miss Golden Eagles,Sun Belt,131
Florida Atlantic Owls,American,132
Kennesaw State Owls,CUSA,133
Kent State Golden Flashes,MAC,134
